id,signal,execs,time_ms,size,sha256,exit_code,asan_type,classification,top_frame,top_symbol,locations,filename
000032,11,30746878,12203278,810,7f53d92123d82ef1b7457bebb08aa289aa044de799b13a1a5bf67468c7c74fde,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000032,sig:11,src:000808,time:12203278,execs:30746878,op:havoc,rep:1"
000033,11,32271179,12811190,802,5a8dfabfa031abce8025aa64ccaf3d07836c89a7b79512109f0828ecebce05ea,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000033,sig:11,src:000809,time:12811190,execs:32271179,op:havoc,rep:3"
000034,11,32427977,12872898,845,9872e1ad953a9c597f1064cda459110ec98fcba86c57cbc05cf205cf2e30ea4d,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000034,sig:11,src:000809,time:12872898,execs:32427977,op:havoc,rep:4"
000035,11,32428160,12872967,788,ba6b7cbd7fbb14834404d29c5529964881484e8bee58434719c1ab80d2000062,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000035,sig:11,src:000809,time:12872967,execs:32428160,op:havoc,rep:2"
000036,11,33337499,13230216,914,07feecb8a9e2f3d923393960147128f5a05bbefc358920c85b363d0f5dfd3d2a,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000036,sig:11,src:000809,time:13230216,execs:33337499,op:havoc,rep:6"
000037,11,33874096,13440692,834,5491d4939ac289a92700932ff72d44e13a55465069af22e737fbdd7edd9c9ffc,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000037,sig:11,src:000809,time:13440692,execs:33874096,op:havoc,rep:3"
000038,11,36533213,14491605,834,172c4e251504cd304d3c976e29d373e44d0c34ba3c09d1cdc4b19539b2d952af,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000038,sig:11,src:000809,time:14491605,execs:36533213,op:havoc,rep:8"
000039,11,36801242,14598092,2168,8fb22c2b7f63a8835e91db4bb6d8f1e2d4d3997fb81f5870bafc3bb08cd86028,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000039,sig:11,src:000808,time:14598092,execs:36801242,op:havoc,rep:2"
000040,06,37798467,14993612,175,5b917305349f37b3c4da183cea35d81e3b67749608321fcc20a31a1f09581b10,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000040,sig:06,src:000737,time:14993612,execs:37798467,op:havoc,rep:2"
000041,06,38096311,15112798,9760,a37573aa01cf9d687addb5cbc65e10558642884417b4da7e370d346c7014d505,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000041,sig:06,src:000788,time:15112798,execs:38096311,op:havoc,rep:2"
